대상연월,요일,time,출발 행정동 코드,도착 행정동 코드,성별,이동인구(합),adm_nm_x,start_point,adm_nm_y,end_point,normalized_이동인구
202204,토,점심,1122057,1122057,F,761.6,서울특별시 서초구 반포1동,"[127.01471802419195, 37.504467519574966]",서울특별시 서초구 반포1동,"[127.01471802419195, 37.504467519574966]",0.028211973567573715
202204,토,점심,1123066,1123066,F,761.05,서울특별시 강남구 도곡1동,"[127.04398112301496, 37.48762669344546]",서울특별시 강남구 도곡1동,"[127.04398112301496, 37.48762669344546]",0.028191599899687465
202204,토,점심,1123063,1123058,F,760.89,서울특별시 강남구 대치4동,"[127.05499069193601, 37.5010195316422]",서울특별시 강남구 삼성1동,"[127.05928361883572, 37.516707116019525]",0.028185673014484193
202204,토,점심,1117061,1117061,F,757.73,서울특별시 구로구 고척1동,"[126.86138334912367, 37.501237149456394]",서울특별시 구로구 고척1동,"[126.86138334912367, 37.501237149456394]",0.02806861703171958
202204,토,점심,1111078,1111078,F,756.1899999999999,서울특별시 노원구 중계2·3동,"[127.06399692560804, 37.64450536882155]",서울특별시 노원구 중계2·3동,"[127.06399692560804, 37.64450536882155]",0.028011570761638085
202204,토,점심,1116071,1116071,F,755.31,서울특별시 강서구 방화2동,"[126.80464166711087, 37.583302630327445]",서울특별시 강서구 방화2동,"[126.80464166711087, 37.583302630327445]",0.02797897289302009
202204,토,점심,1102059,1101063,F,752.34,서울특별시 중구 광희동,"[127.00286697151385, 37.56476073060719]",서울특별시 종로구 종로5·6가동,"[127.0050373801426, 37.57346758551857]",0.02786895508643436
202204,토,점심,1114076,1113075,F,751.94,서울특별시 마포구 서강동,"[126.92639388425313, 37.54906564628819]",서울특별시 서대문구 신촌동,"[126.94126973134767, 37.56713216116725]",0.027854137873426183
202204,토,점심,1115065,1115051,F,751.92,서울특별시 양천구 신정2동,"[126.87480740441501, 37.5191556283628]",서울특별시 양천구 목1동,"[126.87842607732286, 37.528465778189215]",0.02785339701277577
202204,토,점심,1114076,1114068,F,751.16,서울특별시 마포구 서강동,"[126.92639388425313, 37.54906564628819]",서울특별시 마포구 합정동,"[126.91173015368167, 37.547809277206945]",0.02782524430806023
202204,토,점심,1123059,1123078,F,750.11,서울특별시 강남구 삼성2동,"[127.04894638539058, 37.51001499280777]",서울특별시 강남구 청담동,"[127.05055897710258, 37.523705060966414]",0.02778634912391376
202204,토,점심,1119056,1114066,F,749.8,서울특별시 영등포구 당산2동,"[126.90619993938657, 37.53024586004131]",서울특별시 마포구 서교동,"[126.92056224341965, 37.554231410096335]",0.02777486578383242
202204,토,점심,1123064,1122053,F,748.35,서울특별시 강남구 역삼1동,"[127.04126078797715, 37.5039870859614]",서울특별시 서초구 서초3동,"[127.00844957964054, 37.48609541841626]",0.027721153386677768
202204,토,점심,1121058,1121062,F,741.79,서울특별시 관악구 낙성대동,"[126.96182986856822, 37.46780128466276]",서울특별시 관악구 인헌동,"[126.96544662551375, 37.471724477428076]",0.027478151093343624
202204,토,점심,1122052,1122053,F,741.69,서울특별시 서초구 서초2동,"[127.03018034456811, 37.485111515306755]",서울특별시 서초구 서초3동,"[127.00844957964054, 37.48609541841626]",0.027474446790091582
202204,토,점심,1123066,1123064,F,740.39,서울특별시 강남구 도곡1동,"[127.04398112301496, 37.48762669344546]",서울특별시 강남구 역삼1동,"[127.04126078797715, 37.5039870859614]",0.027426290847814998
202204,토,점심,1123067,1123063,F,739.36,서울특별시 강남구 도곡2동,"[127.04887170162499, 37.48711469949217]",서울특별시 강남구 대치4동,"[127.05499069193601, 37.5010195316422]",0.027388136524318936
202204,토,점심,1123060,1123079,F,735.16,서울특별시 강남구 대치1동,"[127.05767185328078, 37.49217000798384]",서울특별시 강남구 대치2동,"[127.07019806083031, 37.49917605917884]",0.02723255578773305
